Period,Subject,Hours
Spring  2012,ART THEORY AND CRITICAL WRITING,45
Spring  2012,THEORY OF COLOR,45
Spring  2012,DRAWING(I),90
Spring  2012,PRESENTATION TECHNIQUES(A),90
Spring  2012,HISTORY OF WESTERN ART,45
Spring  2012,BASIC 3-D STUDY 1,90
Spring  2012,BASIC 2D DRAWINGS 1,90
Spring  2012,RESEARCH OF VISUAL IMAGE(1),90
Spring  2012,BASIC PAINTING II-I,90
Spring  2012,INTRODUCTION TO COMPUTER & EXERCISE,30
Fall 2012,DRAWING (1),90
Fall 2012,PRESENTATION TECHNIQUES(B),90
Fall 2012,BASIC 3-D STUDY 2,90
Fall 2012,BASIC 2D DRAWINGS 2,90
Fall 2012,HISTORY OF KOREAN ART,45
Fall 2012,BASIC PAINTING II-II,90
Fall 2012,UNDERSTANDING OF MODERN HISTORY OF WESTERN,45
Summer quarter 2012,MODERN CONTEMPORARY HISTORY OF KOREA,45
Summer quarter 2012,INTERNET COMMUNICATION AND SOCIETY,30
Summer quarter 2012,FASHION & IMAGE MAKING,30
Winter quarter 2012,FIRST STEP TO LIVING ENGLISH,45
Winter quarter 2012,UNDERSTANDING OF CULTURAL ANTHROPOLOGY,30
Winter quarter 2012,FRENCH ART AND CULTURE,30
Spring 2015,HISTORY OF MODERNISM,45
Spring 2015,STUDY OF  INSTALLATION ART(1),45
Spring 2015,ANATOMY OF HUMAN BODY,45
Spring 2015,PAINTING I,45
Spring 2015,PAINTING (STUDIO WORK) (1),45
Spring 2015,HISTORY & PHILOSOPHY OF EDUCATION,45
Spring 2015,EDUCATIONAL PSYCHOLOGY,45
Spring 2015,HISTORY OF KOREAN CIVILIZATION,45
Fall 2015,STUDY OF DRAWING,45
Fall 2015,PHOTOGRAPHY(1),45
Fall 2015,STUDY OF PRESENTATION METHOD(2),45
Fall 2015,PAINTING II,45
Fall 2015,PAINTING (STUDIO WORK) (2),45
Fall 2015,EDUCATION AND SOCIETY,45
Fall 2015,INTRODUCTION TO EDUCATION,45
Fall 2015,CULTURAL CONTENTS AND CREATIVITY,45
Fall 2015,ELEMENTARY SPANISH,45
Summer quarter 2015,LOGICAL THINKING AND WRITING,90
Spring 2016,COMMUNICATION DESIGN (1),45
Spring 2016,* ENGLISH FOR MAJOR (1),45
Spring 2016,* TYPOGRAPHY (2),45
Spring 2016,* ENGLISH FOR MAJOR (2),45
Spring 2016,PHOTOGRAPHY(2),45
Spring 2016,PAINTING(STUDY WORK) III,45
Spring 2016,PAINTING III,45
Spring 2016,EDUCATIONAL EVALUATION,45
Spring 2016,ENGLISH,45
Fall 2016,DESIGN COLLOQUIUM (2),45
Fall 2016,COMMUNICATION DESIGN (2),45
Fall 2016,* ENGLISH FOR MAJOR(3),45
Fall 2016,EXPRESSION DESIGN STUDIO(2),45
Fall 2016,* ENGLISH FOR MAJOR(4),45
Fall 2016,ADVANCED DRAWING,45
Fall 2016,ABSTRACT ART,45
Fall 2016,EDUCATIONAL VOLUNTEERING,60
Fall 2016,PRACTICAL KNOWLEDGE FOR TEACHERS,45
Fall 2016,THEORY OF TEACHING FINE ARTS SUBJECT,45
Spring 2017,PHOTOGRAPHY(3),45
Spring 2017,EXPRESSION DESIGN STUDIO(3),45
Spring 2017,DESIGN COLLOQUIUM (1),45
Spring 2017,GRADUATION WORKS PRODUCTION(1),45
Spring 2017,RESEARCH OF MEDIA,45
Spring 2017,RESEARCH OF PAINTING(1),45
Spring 2017,METHODOLOGY OF TEACHING FINE ARTS SUBJECT,45
Fall 2017,EXPRESSION DESIGN STUDIO(4),45
Fall 2017,RESEARCH DESIGN STUDIO(2),45
Fall 2017,TYPOGRAPHY(3),45
Fall 2017,* ENGLISH FOR MAJOR(5),45
Fall 2017,GRADUATION WORKS PRODUCTION(2),45
Fall 2017,INTRODUCTION TO SPECIAL EDUCATION,45
Fall 2017,LOGIC AND WRITING,45
Spring 2018,PAINTING TODAY(1),45
Spring 2018,SCHOOL VIOLENCE PREVENTION AND STUDENT UNDER DIFFICULTY,45
Spring 2018,FIELD TRADINING INTERNSHIP,150
Spring 2018,EDUC. ADMINISTRATION & MANAGEMENT,45
Summer quarter 2018,CHEMISTRY & CIVILIZATION,30
Fall 2018,GRAD SURVEY MODERN/CONTEMPORARY ART,45
Fall 2018,VISCOM SEMINAR: FORM-CONFIGURATION-CONTEXT,45
